timestamp_us,gaze_x,gaze_y,delay_ms
576747393457,892.551,972.048,0
576747423495,892.676,968.069,29
576747453657,891.111,963.647,30
576747483887,890.945,962.075,30
576747514137,892.07,957.296,31
576747544290,889.597,954.093,30
576747574581,889.236,952.749,32
576747604831,886.731,949.248,28
576747635177,886.415,948.92,31
576747665416,885.881,947.569,30
576747695762,885.031,946.246,30
576747726099,861.895,941.473,30
576747756647,830.464,930.636,30
576747786621,800.51,920.161,31
576747816879,776.343,913.74,30
576747847520,756.863,908.376,30
576747877484,742.488,904.351,31
576747907876,735.125,900.994,29
576747938126,727.284,898.481,30
576747968623,685.288,901.097,31
576747998647,647.906,891.757,39
576748028906,621.388,889.134,22
576748059271,600.845,886.776,31
576748089617,585.363,881.018,30
576748119963,575.149,879.906,29
576748150309,549.997,878.509,31
576748180539,522.346,875.742,30
576748210894,502.27,875.368,31
576748241098,486.721,872.828,29
576748271370,474.298,870.254,29
576748301606,465.752,867.794,31
576748331755,460.207,866.056,30
576748361930,447.92,863.421,31
576748392184,435.627,859.767,30
576748422332,427.139,854.893,29
576748452586,419.377,851.364,31
576748482743,412.595,848.545,31
576748512988,431.803,844.528,29
576748543242,453.266,842.874,32
576748573648,479.917,841.403,29
576748603548,509.418,838.993,31
576748634097,536.202,836.681,30
576748663996,558.717,836.926,31
576748694517,575.192,838.307,29
576748724522,585.594,833.376,30
576748754929,594.961,834.162,30
576748784934,589.431,834.758,31
576748815339,579.683,834.974,31
576748845157,575.52,836.068,29
576748875751,573.279,836.159,30
576748905757,571.224,836.333,31
576748936181,568.697,836.621,29
576748966187,564.926,837.285,31
576748996592,561.31,837.427,30
576749026598,566.458,837.258,30
576749056756,579.66,836.306,31
576749086903,601.253,834.953,30
576749117406,626.246,832.325,30
576749147306,648.445,832.188,31
576749177808,666.585,830.795,30
576749207805,681.103,829.155,31
576749238197,691.585,830.779,29
576749268005,696.104,831.807,30
576749298599,696.825,831.958,31
576749328476,696.607,831.79,30
576749358780,697.377,832.863,30
576749388684,697.639,832.456,29
576749419076,697.787,831.774,31
576749449174,698.744,831.63,30
576749479575,688.193,832.796,31
576749510073,644.471,835.311,30
576749539969,587.449,835.584,29
576749569969,534.782,835.772,31
576749600467,492.318,833.916,30
576749630459,484.839,830.344,31
576749690802,515.088,849.477,58
576749721212,541.394,827.025,31
576749751075,556.262,823.538,31
576749781669,573.607,817.825,30
576750203012,1691.04,235.996,425
576750383865,1290.97,491.361,177
576750414041,610.919,842.631,31
576750443793,730.315,813.251,31
576750474112,616.232,851.547,30
576750504255,687.492,874.627,30
576750534335,668.277,890.39,32
576750564594,626.851,911.887,28
576750594654,546.506,933.214,32
576750625249,495.091,946.39,31
576750655144,467.092,955.55,28
576750685595,447.68,962.485,32
576750715628,434.643,965.048,30
576750745851,425.612,967.284,31
576750775948,417.48,968.113,29
576750806276,414.419,968.909,31
576750836516,410.813,969.895,31
576750866596,408.8,968.931,30
576750896941,406.094,969.57,31
576751742448,485.747,895.699,842
